City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
213,Hoa Binh,VN,84.2,broken clouds,20.81,105.34,Hoa Dao Hotel
214,Cherskiy,RU,80.11,scattered clouds,68.75,161.3,Gostinitsa
220,Sur,OM,85.01,scattered clouds,22.57,59.53,Sur Plaza Hotel
224,Chapais,CA,87.8,clear sky,49.78,-74.85,Hôtel Opémiska
227,Praya,CV,77.0,few clouds,14.92,-23.51,LT Aparthotel
230,Naze,JP,78.8,broken clouds,28.37,129.48,奄美ポートタワーホテル
232,Emmett,US,80.01,scattered clouds,43.87,-116.5,Holiday Motel & R.V Park
235,Catuday,PH,82.33,broken clouds,16.29,119.81,GResort
242,Guasdualito,VE,75.4,clear sky,7.24,-70.73,Hotel Cuibas
244,Jiayuguan,CN,77.52,broken clouds,39.82,98.3,Jiugang Hotel - Jiayuguan
248,Kirakira,SB,82.51,moderate rain,-10.45,161.92,SanBiz Lodge
250,Bud,US,87.01,clear sky,39.45,-86.18,Madsion Scouts Camp
255,Patitirion,GR,75.0,clear sky,39.15,23.87,Pension Votsi
256,Monterey,US,88.0,scattered clouds,36.25,-121.25,
257,Progreso,MX,86.0,broken clouds,21.28,-89.67,Playa Linda Hotel
258,Waddan,LY,86.36,clear sky,29.16,16.14,محل الشريف محمد العايب
260,Pierre,US,75.99,clear sky,44.37,-100.35,Ramkota Hotel
262,Filadelfia,US,82.0,broken clouds,39.95,-75.16,Loews Philadelphia Hotel
264,Boyolangu,ID,76.93,light rain,-8.12,111.89,Yos ega cv
268,Lamu,KE,77.72,few clouds,-2.27,40.9,Lamu House
270,Cayenne,GF,80.6,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
271,Sinnamary,GF,78.73,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
272,San Alberto,CO,79.61,light rain,7.76,-73.39,Hotel San Alberto Plaza
276,Vega De Alatorre,MX,83.7,few clouds,20.03,-96.63,Hotel Deluxe
277,Gizo,SB,84.34,few clouds,-8.1,156.84,Imagination Island
280,Tual,ID,80.62,overcast clouds,-5.67,132.75,Grand Vilia Hotel
281,Bar Harbor,US,77.0,clear sky,44.39,-68.2,Atlantic Oceanside Hotel & Event Center
284,Marawi,PH,78.01,broken clouds,8.0,124.29,Derogongan Residence
289,Katsuura,JP,75.99,clear sky,35.13,140.3,Katsuura Hotel Mikazuki
296,Dingle,PH,82.51,broken clouds,11.0,122.67,Camp Pasica
301,Dawei,MM,76.82,overcast clouds,14.08,98.2,Hotel Dawei
302,Belmonte,BR,77.0,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
307,Batagay-Alyta,RU,77.43,broken clouds,67.8,130.41,
311,Savannah Bight,HN,83.07,broken clouds,16.45,-85.85,Villa on Dunbar Rock
312,Sao Filipe,CV,76.57,few clouds,14.9,-24.5,Tortuga B&B
316,Cockburn Town,TC,82.83,few clouds,21.46,-71.14,Osprey Beach Hotel
317,Lai,TD,76.53,overcast clouds,9.4,16.3,
323,Banda Aceh,ID,80.55,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
326,Bathsheba,BB,77.0,shower rain,13.22,-59.52,Atlantis Hotel
327,Kalmunai,LK,81.45,overcast clouds,7.42,81.82,VS Villa
331,Lincoln,US,75.2,overcast clouds,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
332,Sibu,MY,75.2,fog,2.3,111.82,RH HOTEL (4 Star)
333,Bodden Town,KY,87.01,few clouds,19.28,-81.25,Will T Place
334,Phultala,BD,81.18,broken clouds,22.7,89.52,Shuvra enterprise& cafe
338,Santa Marta,CO,86.0,overcast clouds,11.24,-74.2,Hotel La Ballena Azul
342,Reyes,BO,77.54,broken clouds,-14.32,-67.38,
344,Srednekolymsk,RU,85.44,clear sky,67.45,153.68,
346,Kismayo,SO,78.19,scattered clouds,-0.36,42.55,Agan-Hotel
348,Fernie,CA,75.2,broken clouds,49.5,-115.07,Fernie Stanford Resort
354,Puerto Escondido,MX,84.2,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
355,Aksarayskiy,RU,84.0,broken clouds,46.79,48.01,
359,Tabuk,PH,81.45,clear sky,17.42,121.44,Grand Zion Garden Resort Hotel
362,Broome,US,75.0,overcast clouds,42.25,-75.83,Chenango Valley State Park
365,Iralaya,HN,86.0,broken clouds,15.0,-83.23,Iglesia morava renovada
369,Pontianak,ID,76.21,overcast clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
376,Fremont,US,82.99,clear sky,37.55,-121.99,Best Western Plus Garden Court Inn
383,Rudbar,AF,82.13,clear sky,30.15,62.6,
384,The Valley,AI,84.2,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
389,Piste,MX,83.43,few clouds,20.7,-88.58,Hotel Villas Arqueologicas Chichen Itza
392,Deep River,CA,86.0,clear sky,46.1,-77.5,Deep River Motel
393,Baghmara,IN,82.85,light rain,23.8,86.21,BCCL Guest House Dumra
399,Alofi,NU,78.8,few clouds,-19.06,-169.92,Taloa Heights
400,Garden City,US,87.8,scattered clouds,42.33,-83.33,Quality Inn & Suites Banquet Center
402,Mount Holly,US,75.99,light rain,35.3,-81.02,Holiday Inn Express & Suites Charlotte Arpt-Belmont
417,Puerto Narino,CO,77.0,overcast clouds,-3.77,-70.38,Eware Refugio Amazonico
418,Xingcheng,CN,79.03,few clouds,40.62,120.72,New Century Hotel
419,Mecca,SA,86.67,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
423,Hirara,JP,86.0,light intensity shower rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
427,Bani Walid,LY,89.15,clear sky,31.76,13.99,منزل الصابر أبوفانة
428,Palmer,US,80.01,scattered clouds,42.16,-72.33,Wedgewood Motel
429,Qeshm,IR,89.6,haze,26.96,56.27,Kimia IV Hotel
431,Laizhou,CN,80.2,scattered clouds,37.18,119.93,Baidu International Hotel
432,Makakilo City,US,84.2,haze,21.35,-158.09,Marriott's Ko Olina Beach Club
433,Aden,YE,86.09,clear sky,12.78,45.04,Sama Emirate Hotel
436,Huron,US,81.0,clear sky,41.15,-82.55,Indian Creek Campground
441,Lorengau,PG,85.55,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
445,Nhulunbuy,AU,79.29,light rain,-12.23,136.77,East Arnhem Real Estate
