City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Kruisfontein,ZA,2020-06-17 00:10:57,-34.0,24.73,50.22,90,0,4.79
161,Taguatinga,BR,2020-06-17 00:10:57,-12.39,-46.57,70.41,70,12,5.64
162,Itabira,BR,2020-06-17 00:09:16,-19.62,-43.23,66.2,77,75,9.17
163,Talnakh,RU,2020-06-17 00:10:57,69.49,88.4,39.2,80,75,11.18
164,Coihaique,CL,2020-06-17 00:10:39,-45.58,-72.07,35.6,100,40,3.36
165,Hit,IQ,2020-06-17 00:10:58,33.64,42.83,82.51,17,0,11.86
166,Garbolovo,RU,2020-06-17 00:10:58,60.34,30.5,66.2,88,22,2.24
167,Pundaguitan,PH,2020-06-17 00:10:58,6.37,126.17,83.44,71,8,1.77
168,New Norfolk,AU,2020-06-17 00:10:58,-42.78,147.06,45.0,82,22,1.01
169,Hasaki,JP,2020-06-17 00:10:58,35.73,140.83,78.01,60,40,6.93
170,Lorengau,PG,2020-06-17 00:10:59,-2.02,147.27,85.55,69,78,6.8
171,Alice Springs,AU,2020-06-17 00:10:59,-23.7,133.88,52.0,48,0,3.36
172,Todos Santos,MX,2020-06-17 00:11:00,23.45,-110.22,73.0,79,94,4.0
173,Henties Bay,NA,2020-06-17 00:11:00,-22.12,14.28,77.0,17,0,5.01
174,Sorland,NO,2020-06-17 00:11:00,67.67,12.69,50.63,78,4,11.88
175,Tabuk,PH,2020-06-17 00:11:00,17.42,121.44,80.82,79,55,4.99
176,Fairbanks,US,2020-06-17 00:11:01,64.84,-147.72,77.0,40,40,2.48
177,Pemangkat,ID,2020-06-17 00:11:01,1.17,108.97,77.68,82,78,4.12
178,Kahului,US,2020-06-17 00:11:01,20.89,-156.47,86.0,51,40,18.34
179,Moindou,NC,2020-06-17 00:11:02,-21.69,165.68,77.0,53,20,3.36
180,Mezen,RU,2020-06-17 00:11:02,65.85,44.24,38.01,80,33,6.13
181,Neiafu,TO,2020-06-17 00:11:02,-18.65,-173.98,77.0,69,75,6.93
182,Primorsk,UA,2020-06-17 00:11:02,46.73,36.34,68.16,86,20,5.77
183,Lavrentiya,RU,2020-06-17 00:11:03,65.58,-171.0,50.74,57,0,4.12
184,Tulagi,SB,2020-06-17 00:11:03,-9.1,160.15,82.4,83,75,2.24
185,Ribeira Grande,PT,2020-06-17 00:11:03,38.52,-28.7,64.83,90,11,17.0
186,Cabo San Lucas,MX,2020-06-17 00:10:27,22.89,-109.91,91.99,22,20,16.11
187,Neka,IR,2020-06-17 00:11:04,36.65,53.3,69.8,77,0,6.93
188,Ushirombo,TZ,2020-06-17 00:11:04,-3.49,31.96,63.34,61,41,2.95
189,Avera,US,2020-06-17 00:11:04,33.19,-82.53,66.2,82,90,5.82
190,Amposta,ES,2020-06-17 00:11:04,40.71,0.58,64.99,74,9,7.0
191,Fort Nelson,CA,2020-06-17 00:08:43,58.81,-122.7,55.4,87,90,6.93
192,Kenai,US,2020-06-17 00:06:59,60.55,-151.26,62.6,42,1,14.99
193,Pevek,RU,2020-06-17 00:11:05,69.7,170.31,46.69,65,100,4.9
194,Saldanha,ZA,2020-06-17 00:11:05,-33.01,17.94,51.8,66,0,1.12
195,Richards Bay,ZA,2020-06-17 00:11:06,-28.78,32.04,60.87,79,80,3.67
196,East London,ZA,2020-06-17 00:11:06,-33.02,27.91,58.86,73,23,9.31
197,Yulara,AU,2020-06-17 00:11:06,-25.24,130.99,42.8,41,0,8.05
198,San Andres,CO,2020-06-17 00:11:06,12.58,-81.7,84.2,79,90,4.7
199,Katima Mulilo,NA,2020-06-17 00:11:07,-17.5,24.27,62.6,63,18,3.36
200,Mount Isa,AU,2020-06-17 00:11:07,-20.73,139.5,68.0,22,0,11.41
201,Saint-Augustin,CA,2020-06-17 00:11:07,51.23,-58.65,63.07,52,100,4.52
202,Mogadishu,SO,2020-06-17 00:11:07,2.04,45.34,78.12,82,100,18.07
203,Leningradskiy,RU,2020-06-17 00:11:08,69.38,178.42,53.92,57,0,9.57
204,Hay River,CA,2020-06-17 00:11:08,60.82,-115.8,48.2,70,75,6.93
205,Hatillo,PR,2020-06-17 00:11:08,18.49,-66.83,81.0,100,66,17.2
206,Cap Malheureux,MU,2020-06-17 00:11:08,-19.98,57.61,69.8,83,40,13.87
207,Ixtapa,MX,2020-06-17 00:11:09,20.7,-105.2,84.2,66,40,11.41
208,Winneba,GH,2020-06-17 00:11:09,5.35,-0.62,80.6,88,75,13.87
209,Ahero,KE,2020-06-17 00:11:09,-0.17,34.92,62.65,83,100,4.14
210,Khandyga,RU,2020-06-17 00:11:09,62.67,135.6,76.26,38,16,2.8
211,Filingue,NE,2020-06-17 00:11:09,14.35,3.32,97.86,24,73,8.63
212,Kalmunai,LK,2020-06-17 00:11:10,7.42,81.82,81.14,75,100,5.7
213,Katsuura,JP,2020-06-17 00:09:05,35.13,140.3,78.01,61,40,6.93
214,Rock Sound,BS,2020-06-17 00:09:01,24.9,-76.2,80.53,74,100,6.64
215,Yerbogachen,RU,2020-06-17 00:11:11,61.28,108.01,58.62,55,19,5.19
216,Buin,CL,2020-06-17 00:11:11,-33.73,-70.75,51.8,81,75,6.93
217,Penalva,BR,2020-06-17 00:11:11,-3.29,-45.17,75.34,87,8,2.55
218,Port Said,EG,2020-06-17 00:11:12,31.26,32.28,76.89,72,0,11.12
219,Huarmey,PE,2020-06-17 00:11:12,-10.07,-78.15,63.27,85,1,10.51
220,Ust-Kalmanka,RU,2020-06-17 00:11:12,52.12,83.31,52.68,78,68,10.85
221,Dwarka,IN,2020-06-17 00:11:13,22.24,68.97,85.53,82,93,15.73
222,Iqaluit,CA,2020-06-17 00:11:01,63.75,-68.51,41.0,60,75,6.93
223,Shubarkuduk,KZ,2020-06-17 00:11:13,49.14,56.49,60.13,59,0,2.53
224,Pitkyaranta,RU,2020-06-17 00:11:13,61.57,31.48,53.38,74,0,11.5
225,Piacabucu,BR,2020-06-17 00:11:14,-10.41,-36.43,75.67,84,12,9.19
226,Izumo,JP,2020-06-17 00:09:05,35.37,132.77,69.8,83,75,5.82
227,Te Kauwhata,NZ,2020-06-17 00:11:14,-37.4,175.15,64.99,70,18,7.0
228,Tabou,CI,2020-06-17 00:11:14,4.42,-7.35,77.5,88,88,10.13
229,Ostrovnoy,RU,2020-06-17 00:11:15,68.05,39.51,43.66,75,96,7.74
230,Biak,ID,2020-06-17 00:11:15,-0.91,122.88,80.02,77,28,8.41
231,Tafresh,IR,2020-06-17 00:11:16,34.69,50.01,69.24,25,0,4.38
232,Tondano,ID,2020-06-17 00:11:16,1.3,124.91,77.0,94,20,2.24
233,Kayerkan,RU,2020-06-17 00:11:16,69.35,87.76,39.2,80,75,11.18
234,Bambous Virieux,MU,2020-06-17 00:11:17,-20.34,57.76,69.8,83,40,13.87
235,Kangaba,ML,2020-06-17 00:11:17,11.93,-8.42,81.81,61,78,7.4
236,Zaysan,KZ,2020-06-17 00:11:17,47.47,84.87,69.85,48,82,3.27
237,Bengkulu,ID,2020-06-17 00:11:17,-3.8,102.27,76.41,85,74,5.1
238,Husavik,IS,2020-06-17 00:11:18,66.04,-17.34,46.4,75,75,133.55
239,Roros,NO,2020-06-17 00:11:18,62.57,11.38,53.6,100,78,3.36
240,Dhidhdhoo,MV,2020-06-17 00:11:18,6.88,73.1,84.42,77,88,19.62
241,Hamilton,US,2020-06-17 00:08:47,39.18,-84.53,79.0,39,1,5.82
242,Bodden Town,KY,2020-06-17 00:11:19,19.28,-81.25,86.0,79,40,10.29
243,Plettenberg Bay,ZA,2020-06-17 00:11:19,-34.05,23.37,57.96,58,0,5.41
